REQUIREMENTS TRACEABILITY MATRIX,,,,,,,,,,,,,,
Project Name,Pets4Life Website Development,Version Control,,,,,,,,,,,,
023,High,the V.M system will allow users to update their availability if changes arise,Volunteers need to update their availability,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-002,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
024,High,the V.M system will allow volunteers to have the option for one-time or flexible volunteering options,Volunteers choose how flexible they can be with volunteer work,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-003,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
025,High,the V.M system will allow admin to send reminders and notifications for upcoming events to volunteers. ,People who signed up for events need to be reminded and notified of upcoming events,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a seperate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-004,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
026,High,the V.M system will require creation of profile along with personal information,Volunteers keep their information logged in an account on Plan Hero,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-005,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
027,High,"The V.M system will allow the event coordinator to schedule a new event by inputting relevant details, such as date, time, location, and description. ",Event coordinator will need to input important details in the event description,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-006,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
028,High,The V.M system will allow the event coordinator to modify existing event details as needed. ,Event coordinator will need to update existing details in event description for the occurrence of changes,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-007,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
029,High,"The V.M system will allow users access to a list of scheduled events and their relevant details, such as date, time, location, and description. ",Clients need to see the relevant details of events for scheduling.,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-008,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
030,High,The V.M system will allow volunteers to register for events.,Users need to register for an event if they intend to volunteer for the event.,Completed,Volunteering will be managed externally by the Plan Hero service,"Plan Hero is a separate service hosted externally of WordPress CMS, The website has links to P4L's Plan Hero volunteer page where they can register for their events. ",Plan Hero (externally hosted),No-code service hosted externally of the organization's website.,N/A,VM-009,10/5/2025,10/6/2025,"Plan Hero is a service that the P4L organization has been using and is choosing to stick with. Their existing setup with Plan Hero has been functioning well for them and has helped them facilitate coordination with volunteers effectively, verified by client feedback.",N/A
031,High,Users will fillout a form for a mailing list to get regular updates and announcements for events.,Users need distributed updates and announcements of upcoming events of interest.,Completed,Registry will be processed by a form hosted by WPForms which will then register the user to recieve updates via MailChimp,WPForms is a plugin hosted on the WordPress CMS and MailChimp is another service that is integratable with the website.,"WordPress, WPForms, MailChimp",No-code plugins and services that are hosted or managed within the WordPress CMS,N/A,MC-001,11/20/2025,11/21/2025,We tested this by going through and filling out the mailing list form and seeing if it updated the MailChimp Pets4Life list. This was done initially on the website and then checked on our backend. ,N/A
032,High,"The system will allow users to view a list of upcoming community events, including the event title, date, time, and location.",Users need visibility into upcoming events in order to plan attendance. The events must display accurately on the website.,Completed,"The Events & Scheduling page is designed and managed through WordPress CMS. Amelia Lite plugin is embedded into the page using a short code, pulling event data dynamically for easy updates by administrators.",Amelia Lite plugin is embedded on the Events page to list available events dynamically.,"WordPress, Amelia Lite",Amelia Lite Booking Confirmation,N/A,TC-EV01,10/29/2025,10/30/2025,Verified by group testing: events appear with accurate information and clickable sign-up button.,Tested in demo #2 test was success.
033,High,The system will allow users to register for an event directly through the Amelia Lite booking form.,Users need an easy and accessible online method to sign up for events without staff involvement.,Completed,"The Events & Scheduling page is designed and managed through WordPress CMS. Amelia Lite plugin is embedded into the page using a short code, pulling event data dynamically for easy updates by administrators.",Amelia Lite plugin manages booking form submission and displays confirmation on the same page after submission.,"WordPress, Amelia Lite",Amelia Lite Booking Confirmation,N/A,TC-EV02,10/29/2025,10/30/2025,Verified by group testing: events appear with accurate information and clickable sign-up button.,Tested in demo #2 test was success.
034,High,The system will provide users with an on-screen confirmation message once an event registration is submitted.,Users expect to know their registration was successful immediately after submission.,Completed,"The Events & Scheduling page is designed and managed through WordPress CMS. Amelia Lite plugin is embedded into the page using a short code, pulling event data dynamically for easy updates by administrators.",Amelia Lite displays “Thank You” confirmation message after booking; no automated email notifications in Lite version.,"WordPress, Amelia Lite",Amelia Lite Booking Confirmation,Future enhancement: enable email or SMS confirmations if Pro version is adopted.,TC-EV03,10/29/2025,10/30/2025,Verified on-screen confirmation message; pending user verification for automated notifications.,Tested in demo #2 test was success.
039,High,"The system will display a contact form that allows users to input their name, email, subject, and message.",Visitors need an easy way to reach out to Pets4Life for support or questions.,Completed,The “Contact Us” page is built within WordPress using the WPForms plugin. The form layout includes labeled fields styled for accessibility and mobile responsiveness.,WPForms Lite plugin embedded via short code and routed through WordPress,WordPress Contact Page.,WPForms Lite.,N/A,TC-CU01,Not yet tested,10/6/2025,Verified form loads correctly and accepts entries.,Simple and user-friendly; integrates seamlessly with chatbot.
040,High,The system will display a confirmation message after the user submits a contact form.,Users expect visual confirmation after submitting their inquiry.,Completed,Confirmation message configured within WPForms settings to appear inline after submission.,WPForms Lite uses AJAX submission to display “Thank You” text without refreshing the page.,WordPress Contact Page.,WPForms Lite Confirmation Module.,Will assess clarity of confirmation message before Demo 3.,TC-CU02,11/19,11/20,"We verified this form by submitting a test form and seeing what it would provide to us. It went through correctly, and we were able to see the submission confirmation on the front end to connect to what we saw in the backend. ",Future enhancement may include automatic email copy sent to user.
041,High,A “Mission Partner Form” button will allow users to open a mission partner submission form.,WPForms plugin has to be active and configured for mission partner form submission.,Completed,"The “Mission Partner Form” button on the Mission Partners page will be managed through our CMS, WordPress, to provide easy navigation for users. The button will link to a WPForms mission partners form, providing a clear and simple user experience without having to leave the site’s domain.",The Mission Partners page and form are managed through WordPress using Kadence and WPForms. The “mission partner form” button links to a WPForms mission partner form. Once submitted admins will have full access to view and manage submissions.,"WordPress, Kadence, and WPForms integration","All low-code environments managed through WordPress, Kadence, and WPForms.",N/A,MP-001,10/29/2025,10/25/2025,We verified this functionality by clicking the “Mission Partner Form” button to ensure it correctly opened the mission partner form.,This will be our final feat of the website and will be completed prior to demo #3.
042,High,"The WPForms Mission Partner Form will allow users to submit name, email, phone number and organization name.",WPForms form fields and submission notifications configured correctly.,Completed,"The mission partner form will be managed through our CMS, WordPress, for administrative access. The form will be created using the WPForms plugin, allowing the admin to view and manage submissions through the WordPress dashboard.",The Mission Partners page and form are managed through WordPress using Kadence and WPForms. The “mission partner form” button links to a WPForms mission partner form. Once submitted admins will have full access to view and manage submissions.,"WordPress, Kadence, and WPForms integration","All low-code environments managed through WordPress, Kadence, and WPForms.",N/A,MP-002,10/29/2025,10/25/2025,"We verified the form submission through a user test, submitting a mission partner form to make sure it is working.",This will be our final feat of the website and will be completed prior to demo #3.
043,High,A “Donate” button will allow users to open a general donation form.,WPForms plugin has to be active and configured for general donation form submission.,Completed,"The “Donate” button on the Donate page will be managed through our CMS, WordPress, to provide easy navigation for users. The button will link to a WPForms general donation form, providing a clear and simple user experience without having to leave the site’s domain.","The Donate section and form are managed through WordPress using Kadence, Stripe and WPForms. The “Donate” button links to a WPForms general donation form. Once submitted admins will have full access to view and manage submissions.","WordPress, Kadence, Stripe, and WPForms integration","All low-code environments managed through WordPress, Kadence, Stripe, and WPForms.",N/A,DP-001,10/29/2025,10/25/2025,We verified this functionality by clicking the “Donate” button to ensure it correctly opened the general donation form.,"        This will be our final feat of the website and will be completed prior to demo #3. Additionally the donation feature will not fully be incorporated for demo #3 because of our team not being comfortable damaging our tax returns by creating a fully functioning donation page. This is because to do so, Stripe needs your tax information, which would alter our tax returns. If we are selected by the client to create the final website, we will work on them to connect Stripe so that the donation page is fully operational. "
044,High,"The WPForms General Donation Form will allow users to submit name, comment or message, and donation amount.",WPForms form fields and submission notifications configured correctly.,Completed,"The general donation form will be managed through our CMS, Stripe, WordPress, for administrative access. The form will be created using the WPForms plugin, allowing the admin to view and manage submissions through the WordPress dashboard.","The Donate section and form are managed through WordPress using Kadence, Stripe and WPForms. The “Donate” and ""Sponsor"" button links to a WPForms general donation form. Once submitted admins will have full access to view and manage submissions.","WordPress, Kadence, Stripe, and WPForms integration","All low-code environments managed through WordPress, Kadence, Stripe, and WPForms.",N/A,DP-002,10/29/2025,10/25/2025,"We verified the form submission through a user test, submitting a general donation form to make sure it is working.","        This will be our final feat of the website and will be completed prior to demo #3. Additionally the donation feature will not fully be incorporated for demo #3 because of our team not being comfortable damaging our tax returns by creating a fully functioning donation page. This is because to do so, Stripe needs your tax information, which would alter our tax returns. If we are selected by the client to create the final website, we will work on them to connect Stripe so that the donation page is fully operational. "
045,High,A “Sponsor” button will allow users to open a general donation form.,WPForms plugin has to be active and configured for general donation form submission.,Completed,"The “Sponsor” button on the Donate page will be managed through our CMS, WordPress, to provide easy navigation for users. The button will link to a WPForms general donation form, providing a clear and simple user experience without having to leave the site’s domain.","The Sponsor section and form are managed through WordPress using Kadence, Stripe and WPForms. The “Sponsor” button links to a WPForms general donation form. Once submitted admins will have full access to view and manage submissions.","WordPress, Kadence, Stripe, and WPForms integration","All low-code environments managed through WordPress, Kadence, Stripe, and WPForms.",N/A,DP-003,10/29/2025,10/25/2025,We verified this functionality by clicking the “Sponsor” button to ensure it correctly opened the general donation form.,"        This will be our final feat of the website and will be completed prior to demo #3. Additionally the donation feature will not fully be incorporated for demo #3 because of our team not being comfortable damaging our tax returns by creating a fully functioning donation page. This is because to do so, Stripe needs your tax information, which would alter our tax returns. If we are selected by the client to create the final website, we will work on them to connect Stripe so that the donation page is fully operational. "
